state,greenbank
Colorado,Yes
Michigan,Yes
New York,Yes
Maine,Yes
Louisiana,Yes
Texas,Yes
Connecticut,Yes
Florida,Yes
Nevada,Yes
Ohio,Yes
Rhode Island,Yes
District of Columbia,Yes
Pennsylvania,Yes
Illinois,Yes
Delaware,Yes
Hawaii,Yes
Missouri,Yes
Maryland,Yes
Alaska,Action Taken to Establish
Minnesota,Action Taken to Establish
North Carolina,Yes
California,Yes
New Jersey,Action Taken to Establish
Puerto Rico,Yes
Massachusetts,Action Taken to Establish
Utah,Action Taken to Establish
Vermont,Action Taken to Establish
Wisconsin,Action Taken to Establish
Virginia,Action Taken to Establish
New Mexico,Action Taken to Establish
Georgia,Exploring
Idaho,Exploring
Indiana,Exploring
Montana,Exploring
Oregon,Exploring
South Carolina,Exploring
Tennessee,Exploring
Washington,Exploring
West Virginia,Exploring
Alabama,No
Arizona,No
Arkansas,No
Iowa,No
Kansas,No
Kentucky,No
Mississippi,No
Nebraska,No
New Hampshire,No
North Dakota,No
Oklahoma,No
South Dakota,No
Wyoming,No
